px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
189.478	37.4076	2.48628	0.261377	0.069488	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.711672
191.726	37.5676	2.55324	-0.0184596	-0.150234	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.219302
191.698	37.5563	2.39016	-0.0566076	-0.210964	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.310598
193.482	37.2774	2.28539	-0.237965	-0.194167	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0881058
193.501	37.2811	2.29304	-0.233432	-0.192762	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0897066
195.936	37.3931	2.58142	0.250971	0.239417	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.90181
195.833	37.397	2.17855	0.283967	0.29488	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.73605
197.717	37.7345	2.22044	0.202771	0.0582352	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.204722
197.672	37.725	2.06702	0.20082	0.0574637	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.529742
199.301	37.3027	1.9528	-0.37189	-0.331758	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.615915
199.313	37.3063	1.97281	-0.363409	-0.318647	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0381084
201.482	36.9995	2.35626	0.0245484	0.139948	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.41535
201.357	36.996	1.9673	-0.0725475	-0.00573038	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.33079
202.962	36.4636	2.00768	-0.367132	-0.183659	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.110693
202.921	36.4442	1.84399	-0.484736	-0.356001	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.549122
204.027	36.1621	1.285	-0.418416	-0.111623	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	1.40228
204.032	36.1501	1.4803	-0.293938	0.129822	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.4264
