px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.79482	-12.0111	-2.68812	1.4613	-0.458363	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.264161
9.74955	-12.1509	-2.69492	1.41884	-0.476462	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.533119
9.68077	-12.2795	-2.67272	1.33932	-0.55582	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	5.54864
9.62823	-12.4037	-2.66863	1.29869	-0.568197	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.504527
9.50813	-12.5138	-2.63673	1.17541	-0.701004	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	12.8398
9.43722	-12.6252	-2.63002	1.12852	-0.712598	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.601328
9.3556	-12.7497	-2.62645	1.06871	-0.7415	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.537873
9.27299	-12.8596	-2.61391	1.01977	-0.750345	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.637395
9.09782	-12.9396	-2.60752	0.848651	-0.940158	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	23.7884
8.97598	-13.0266	-2.61179	0.779664	-0.959718	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.27853
8.82466	-13.1048	-2.61872	0.668512	-1.04049	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.89671
8.70203	-13.1697	-2.60276	0.601503	-1.05167	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.90784
8.5485	-13.2182	-2.62012	0.48754	-1.1386	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	4.62145
8.41833	-13.2592	-2.61333	0.417917	-1.15097	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.752408
8.23174	-13.2774	-2.64639	0.274975	-1.2641	8.22926	-13.1698	8.2	-13.15	-2.72741	0	8.27541
8.08169	-13.2878	-2.63459	0.190635	-1.27947	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.08573
7.92065	-13.2903	-2.64605	0.0926132	-1.31611	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.44083
7.77471	-13.2772	-2.63328	0.00846771	-1.32923	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.673516
7.68093	-13.3114	-2.57689	0.00888258	-1.232	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	8.20421
7.53624	-13.3002	-2.58827	-0.0617259	-1.23784	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.532866
7.39155	-13.281	-2.58576	-0.131482	-1.23626	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.770671
7.23745	-13.2557	-2.59994	-0.202779	-1.23662	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.329494
7.09047	-13.1898	-2.63831	-0.307347	-1.29409	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.93819
6.9477	-13.1492	-2.65927	-0.370846	-1.28905	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.515101
6.8153	-13.1011	-2.65339	-0.432606	-1.27739	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.257217
6.66348	-13.0455	-2.67812	-0.494764	-1.26546	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.633228
6.55333	-13.0164	-2.59858	-0.510726	-1.18652	6.40137	-13.0799	6.4	-13.05	-2.72678	0	10.1905
6.39753	-12.9705	-2.63254	-0.551989	-1.15832	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.43043
6.27862	-12.9141	-2.60167	-0.590572	-1.1226	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	2.02999
6.11651	-12.8645	-2.64294	-0.619427	-1.08542	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.15771
5.99585	-12.7524	-2.71597	-0.708606	-1.13824	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.85834
5.84482	-12.6887	-2.75857	-0.733056	-1.10157	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.26399
5.7397	-12.6192	-2.68703	-0.757046	-1.04669	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.3692
5.58687	-12.5527	-2.71685	-0.77433	-1.00452	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.90538
5.47349	-12.4365	-2.74703	-0.836022	-1.01562	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.03897
5.31282	-12.3653	-2.78039	-0.841517	-0.963588	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.65323
5.2094	-12.2677	-2.75617	-0.87748	-0.941584	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.15748
5.06644	-12.1805	-2.77871	-0.890254	-0.901792	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.44015
4.97321	-12.0672	-2.78992	-0.933701	-0.899816	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.528081
4.85416	-11.9828	-2.80098	-0.945441	-0.866648	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.985814
4.76216	-11.8542	-2.81351	-0.993179	-0.868383	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.223953
4.6704	-11.7292	-2.81661	-1.03264	-0.859986	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0582115
4.60595	-11.6198	-2.74596	-1.06845	-0.841891	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.63031
4.53413	-11.5001	-2.73658	-1.10754	-0.835677	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.273344
4.44232	-11.3314	-2.88616	-1.15761	-0.852383	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	25.7206
4.40402	-11.187	-2.88592	-1.21434	-0.866398	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.167811
4.39137	-11.0581	-2.78776	-1.27826	-0.883997	4.43713	-11.024	4.45	-11.05	0	1.81614	11.0491
4.3759	-10.9074	-2.77775	-1.34332	-0.901271	4.45136	-10.93	4.45	-10.95	0	1.81612	0.356781
4.35376	-10.7591	-2.76947	-1.39847	-0.90762	4.44745	-10.786	4.45	-10.8	0	2.72555	0.137024
4.3628	-10.6074	-2.75828	-1.46895	-0.92925	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.596907
4.36175	-10.4611	-2.74628	-1.52696	-0.937971	4.46329	-10.5756	4.45	-10.5	0	2.729	0.336618
4.37912	-10.3109	-2.74062	-1.59186	-0.951906	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.255976
4.40432	-10.1638	-2.727	-1.65907	-0.970262	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.436267
4.45315	-10.0143	-2.72365	-1.73424	-0.992355	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.583074
4.48443	-9.86996	-2.72373	-1.78855	-0.990571	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.392915
4.54869	-9.72507	-2.72407	-1.86225	-1.00955	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.487815
4.56184	-9.57286	-2.74446	-1.88075	-0.958885	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.92367
4.64232	-9.43199	-2.74762	-1.95428	-0.978737	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.656734
4.71752	-9.29778	-2.74556	-2.02019	-0.992432	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.485031
4.82289	-9.15794	-2.76245	-2.09798	-1.01286	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.925016
4.90492	-9.039	-2.7667	-2.15772	-1.02407	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.147499
4.99565	-8.92889	-2.76837	-2.21631	-1.0308	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.137105
5.06623	-8.80448	-2.76349	-2.24066	-0.983707	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.67772
5.18413	-8.67991	-2.78264	-2.30469	-0.990475	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.499523
5.28311	-8.57807	-2.78556	-2.3549	-0.989712	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.108319
5.39555	-8.47374	-2.801	-2.40825	-0.991211	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.265771
5.48378	-8.36335	-2.78594	-2.42462	-0.934951	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.15248
5.59093	-8.26255	-2.78122	-2.46978	-0.929911	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.165422
5.66827	-8.14184	-2.76224	-2.46103	-0.843144	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.58086
